English,Sphanish
sisters,hermanas
everybody's,de todo el mundo
several,varios
pushed,empujado
Nicholas,Nicholas
written,escrito
somebody's,de alguien
shock,choque
pushing,emprendedor
heat,calor
chocolate,chocolate
greatest,mayor
holden,Holden
miserable,miserable
Corinthos,Corinthos
nightmare,pesadilla
energy,energía
brings,trae
Zander,Zander
character,personaje
became,se convirtió
famous,famoso
enemy,enemigo
crash,choque
chances,posibilidades
sending,enviando
recognize,reconocer
healthy,saludable
boring,aburrido
feed,alimentar
engaged,comprometido
Sarah,Sarah
percent,por ciento
headed,con membrete
Brandon,Brandon
lines,líneas
treated,tratada
purpose,propósito
north,norte
knife,cuchillo
rights,derechos
drag,arrastrar
san,san
fan,ventilador
badly,gravemente
speed,velocidad
santa,Papa Noel
hire,contratar
curious,curioso
paint,pintura
pardon,perdón
Jackson,Jackson
built,construido
behavior,comportamiento
closet,armario
candy,dulce
Helena,Helena
warn,advertir
gorgeous,precioso
post,correo
